Final deadline for early registration fee,Camera-ready papers,Final decision notification,Presentation drafts submission deadline,Notification of Event,Submission deadline (Extended),Notification of acceptance/rejection,Tutorials,Decision on Abstracts,Notification of Paper Acceptance or Rejection,Notification of acceptance,Early Bird Registration,Special issue completed,Download CFP,Camera Ready and Registration Due:,Full papers submission Deadline,Workshop proposals,Demo submission deadline,Author Notification,Facebook,Event venue,Extended submission deadline,Camera ready deadline,Notification of acceptance of papers,Co-located event proposal deadline,Abstract registration deadline,Version finale,Notification to authors of acceptance,Notification aux auteurs,Deadline for Covering a Conference Fee,Paper notification,Camera-ready copies,Notification of paper acceptance,Departure date,First round review due,Camera-ready copies due,Final Drafts Submitted,Early bird registration,Camera-ready and Registration,Last Date of Registration,Chief Guest,Camera Ready Final Drafts Due,Acceptance decision,Full Chapter Submission Deadline (Extended),Public day (open),Maps and posters track submission deadline,Camera Ready Version,Word template for submissions,Last date of Registration,Maps and posters track abstract submission deadline,Arrival date,General Chair :,Camera-ready,Final papers for post-proceedings,Acceptance Date:,Technical Program Committee Chair,Main conference track submission deadline,Second Deadline Submission,Camera-ready submission,Submission of final papers,Demo submissions,Revised papers,Final papers submission and registration,Result announcement,Paper Camera-ready version due,Galgotias Univerity,Link,GALA Video Submissions,Posters,Extension deadline,Abstract/Paper Submission Deadline for the Second Phase,(Early bird registration deadline) Confirmation of attendance,Acceptance/reject letters,Abstract/Paper Submission Deadline for the First Phase,Submission,Main conference track community voting opens,Camera-Ready papers,Notification for authors,Demo abstract submission deadline,Notification date,Registration,Camera-ready paper due,Regular Submissions Open Till,Notification to authors,Author Decision Notification,Date of Registration,Camera-ready Submission,Camera-ready version of papers,Camera ready,Camera ready due,Final submission in camera ready format,Notification,Submission of full paper for final review,Demo abstract notification of acceptance,Conference website,Acceptance notification,Technical co Sponsorship,Camera-ready Due,Posters Deadline,Extended submission,Demo abstract registration and payment due,Location:,Registration deadline,Final version of paper and fee deadline,ISPDC-2018:,Presentations Due,Abstract submission deadline,Abstract Submission Deadline,Registration Opening,Notification Date,Submission link,Academic track abstract submission deadline,Final version of paper submission,Notification of review comments,Demo abstract camera-ready version due,Final Paper,Final acceptance decisions,Authors Notification,Final Camera Ready Paper with Author Registration,Installing day,Camera Ready Paper Submission Date,Receipt of Revised Full Paper,Deadline for Camera Ready Version,Main conference track community voting closes,Camera-ready for pre-proceedings,Paper Notification of acceptance,Posters and Lightning talks,Final version deadline,Return of final review,General Chair,Camera ready paper submission deadline,Artifact submission deadline,Extended to this new date,Submission of full papers,Submission deadline,Panel Session Proposals,Academic track camera ready paper for the Proceedings,Final abstract due,Academic track acceptance notice,Demonstration / Poster deadline,Early registration,Tutorial Chair,Registration fee submission,Extension of abstract registration deadline,Professional Day (open),Submission Link,Workshop tracks proposal submission deadline,Paper notification deadline,Registration Due,Main conference track accepted presentations announced,"Final Papers, Signed Copyright Due",Poster,Mathematics and Computing,Camera-ready Paper Due,Industry Track Submissions,Short Paper Deadline,Last date of receiving CRC,Deadline for short papers,Camera ready papers due,Acceptance Notification,"Proposals for workshops, special sessions, tutorials",Paper Registration and payment due,Industry Tracks,Acceptance of Paper,2nd Extension Deadline,Early bird registration deadline,To submit the Latest Version of the Research Paper,Final versions,Revised versions of chapters,Camera-ready copy due,Twitter,Camera-ready deadline,Decisions announced,Full Paper Submission Deadline,Camera Ready,Tutorial proposal deadline,Posters/Short Paper Submission Due,Camera-ready version,Submit Full Paper,Registration and fee transfer deadline,Extended Submission Deadline,Abstract/Paper Submission Deadline for the Third Phase,Camera ready copies due,Author notification,Acceptance and Notification,Final Paper Submission Date,Camera ready papers,Paper Submission deadline,Author Notifications distributed
,,,,,,,,,,,,,,,,,,,,,,,,,"January 5, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/CICLing-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.cicling.org/2018/,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=cicling2018,,,,,,,,,,,,,,,,,,,,,,,,"January 12, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"May 30, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/ICISCAE2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.iciscae.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"May 30, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"March 30, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/ICMECS2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.icmecs.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"March 30, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/icscsr2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.ics-csr.com/,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=icscsr2018,,,,,,,,,,,,,,,,,,,,,,,,"March 30, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"March 31, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/9thICCCNT2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.9icccnt.com,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=9thicccnt,,,,,,,,,,,,,,,,,,,,,,,,"March 31, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"May 4, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/EDOC2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.edoc2018.conf.kth.se,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=edoc2018,,,,,,,,,,,,,,,,,,,,,,,,"May 11, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"March 25, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/LOPSTR-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://ppdp-lopstr-18.cs.uni-frankfurt.de/index.html,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=lopstr2018,,,,,,,,,,,,,,,,,,,,,,,,"April 1, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/apr2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sites.google.com/site/icra2018workshop/home,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=apr2018,,,,,,,,,,,,,,,,,,,,,,,,"March 15, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/Socinfo2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://socinfo2018.hse.ru,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=socinfo2018,,,,,,,,,,,,,,,,,,,,,,,,"May 9, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"August 14, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/sab2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sab2018.org/,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=sab2018,,,,,,,,,,,,,,,,,,,,,,,,"March 11, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"May 21, 2018",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/PST2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://pstnet.ca/pst2018,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=pst2018,,,,,,,,,,,,,,,,,,,,,,,,"April 23, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/RCDDS2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.nrcdds.com/,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=rcdds2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/MobiWis2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.mobiwis.org/2018/,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=mobiwis2018,,,,,,,,,,,,,,,,,,,,,,,,"March 5, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/FiCloud-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.ficloud.org/2018/,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=ficloud2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/DMDMS-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.univ-oran1.dz/images/DMDMS'18/index.html,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=dmdms2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/srmpds2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=srmpds2018,,,,,,,,,,,,,,,,,,,,,,,,"April 15, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"February 1, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/CompLing2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dtgs-conference.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"February 1, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"April 1, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/CRIWG2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://criwg2018.csites.fct.unl.pt/,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=criwg2018,,,,,,,,,,,,,,,,,,,,,,,,"April 8, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"March 19, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/SQUADE18,,,,,,,,,,,,,,,,,"March 5, 2018",,,,,,,,,,,http://www.mrtc.mdh.se/SQUADE/,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=squade18,,,,,,,,,,,,,,,,,,,,,,,,"February 5, 2018",,,,,,,,,,,,,,,,,download,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/pass2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://2018.programming-conference.org/track/PASS-2018-papers,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=pass2018,,,,,,,,,,,,,,,,,,,,,,,,"February 5, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/Innovate-Data-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.ficloud.org/innovate-data-2018/,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=innovatedata2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"February 10, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/AAAC2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://theory.ict.ac.cn/aaac2018/,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=aaac2018,,,,,,,,,,,,,,,,,,,,,,,,"February 10, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"March 16, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/ssbse18,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://ssbse.org,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=ssbse2018,,,,,,,,,,,,,,,,,,,,,,,,"March 22, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,https://www.facebook.com/ELPUBConference,,,,,,"January 31, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"May 20, 2018",,,,,,,https://easychair.org/cfp/ELPUB2018,,,,,,,,,,,,,,,,,,"February 7, 2018",,,,,,,,"March 16, 2018",,http://epress.utsc.utoronto.ca/elpub2018/,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=elpub2018,,,,,,,,,,,,,,,,,,"April 6, 2018",,,,,,"January 31, 2018",,,,,,,,,,,,,,,,,download,,,,,,,,,,,,,,,,,,,https://twitter.com/ELPUB_Conf,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"January 8, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/NCCSMT18,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.nccsmt.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"February 7, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/ATS2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://ats2018.hfut.edu.cn,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=ats2018,,,,,,,,,,,,,,,,,,,,,,,,"March 20, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/web3d2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.web3d2018.org/,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=web3d18,,,,,,,,,,,,,,,,,,,,,,,,"February 16, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/icmcs18,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.med-space.org/icmcs18,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=icmcs18,,,,,,,,,,,,,,,,,,,,,,,,"January 31, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"February 1, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/els2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.european-lisp-symposium.org/2018/index.html,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=els2018,,,,,,,,,,,,,,,,,,,,,,,,"February 18, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"February 1, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/mlabsed2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://mlabsed2017.spbstu.ru/book,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=mlabsed2017,,,,,,,,,,,,,,,,,,,,,,,,"February 10, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/IPREC-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.cbu.ac.zm/conference,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=iprec18,,,,,,,,,,,,,,,,,,,,,,,,"February 23, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/SCAV2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://scav.in.tum.de,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=scav2018,,,,,,,,,,,,,,,,,,,,,,,,"January 26, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/GraML-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hpc.pnl.gov/graml/,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=graml2018,,,,,,,,,,,,,,,,,,,,,,,,"February 1, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"January 15, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/isctcs2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=isctcs2017,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=isctcs2017,,,,,,,,,,,,,,,,,,,,,,,,"January 20, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"April 20, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/RuleML-RR-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://2018.ruleml-rr.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"April 27, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"April 2, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/AI-Science18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=aiscience18,,,,,,,,,,,,,,,,,,,,,,,,"April 2, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/CPS-SR-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sites.google.com/view/cps-sr/,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=cpssr2018,,,,,,,,,,,,,,,,,,,,,,,,"February 2, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/SIES2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://sies2018.tugraz.at,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=sies2018,,,,,,,,,,,,,,,,,,,,,,,,"February 25, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"March 2, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/SwissText2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.swisstext.org,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=swisstext2018,,,,,,,,,,,,,,,,,,,,,,,,"March 2, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/blockchain-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cse.stfx.ca/~blockchain2018/index.php,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=blockchain2018,,,,,,,,,,,,,,,,,,,,,,,,"March 1, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"March 30, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/ATCI2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://atci2018.com,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=atci2018,,,,,,,,,,,,,,,,,,,,,,,,"March 30, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"February 1, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/AWMLC18,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://nsclab.org/conferences/awmlc.html,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=awmlc18,,,,,,,,,,,,,,,,,,,,,,,,"February 1, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"March 10, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/tvx360,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.fokus.fraunhofer.de/go/tvx360,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=tvx360,,,,,,,,,,,,,,,,,,,,,,,,"March 17, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/papoc18,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://papoc-workshop.github.io/2018/index.html,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=papoc18,,,,,,,,,,,,,,,,,,,,,,,,"February 7, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"February 2, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/dais2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.discotec.org,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=dais2018,,,,,,,,,,,,,,,,,,,,,,,,"February 9, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"January 29, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/SynCoP2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://lipn.univ-paris13.fr/SynCoP2018/,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=syncop2018,,,,,,,,,,,,,,,,,,,,,,,,"January 29, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/DARS2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://darsworkshop.github.io/dars2018/index.html,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=dars2018,,,,,,,,,,,,,,,,,,,,,,,,"February 5, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
